There are in total 1844 existing graphs.
7_435:                   2          2#          0*
7_457:                   1          1#          0*
7_476:                   3          4#          0*
7_478:                   7          8#          0*
7_481:                 173         24#          9*
7_498:                   0          2#          0*
7_509:                   5          0#          0*
7_513:                   2          0#          0*
7_515:                   4          7#          1*
7_516:                   1          0#          0*
7_530:                   2          0#          0*
7_560:                   3          2#          1*
7_578:                 194         20#         12*
7_581:                 183         19#          9*
7_583:                   2          1#          0*
7_608:                   3          8#          1*
7_621:                   1          0#          0*
7_627:                   1          2#          0*
7_628:                  44          9#          9*
7_631:                   1          0#          0*
7_632:                   1         27#          9*
7_641:                   0          0#          1*
7_644:                   2          1#          0*
7_663:                 183         19#         10*
7_668:                   0          1#          0*
7_712:                   0          0#          1*
7_717:                   2          2#          2*
7_718:                 200         61#         31*
7_729:                   2          0#          0*
7_730:                   0          5#          0*
7_743:                   1          0#          0*
7_746:                 196         48#         19*
7_747:                   1          0#          1*
7_814:                 140         25#          3*
7_830:                   7          7#          0*
7_865:                   0          2#          0*
7_904:                   2         11#          1*
7_909:                   7          2#          1*
7_910:                   2          4#          0*
7_914:                   7          4#          2*
7_934:                   1         23#          2*
7_935:                 128        108#         18*
7_957:                   0          1#          0*
7_964:                   4          3#          1*
7_971:                   0          2#          0*
7_979:                   2          0#          0*
7_992:                   0          4#          0*
7_993:                 203         53#         34*
7_1031:                202         72#         30*
7_1033:                 57         65#          9*
7_1035:                  8          4#          0*
7_1038:                  0          1#          0*
7_1042:                  4          0#          0*
7_1046:                  0          1#          0*
7_1048:                  4         24#          2*
7_1074:                  3          1#          0*
7_1094:                  1          0#          0*
7_1107:                  0          1#          0*
7_1116:                  3          1#          0*
7_1117:                 14          0#          2*
7_1119:                189         55#         21*
7_1129:                 26          2#          8*
7_1141:                  3          0#          0*
7_1147:                208         21#         17*
7_1151:                 25          7#          8*
7_1155:                  0          0#          2*
7_1156:                 28          2#          8*
7_1208:                  1          0#          1*
7_1219:                  1          0#          0*
7_1220:                215         54#         27*
7_1235:                  1          0#          0*
7_1261:                  1          0#          0*
7_1271:                  0          1#          0*
7_1278:                  4          3#          0*
7_1285:                  1          0#          0*
7_1289:                  0          1#          0*
7_1311:                153         38#         30*
7_1313:                  9          0#          0*
7_1329:                  2          0#          0*
7_1336:                  3          9#          0*
7_1337:                  1          4#          0*
7_1341:                  4          0#          0*
7_1345:                  8          7#          1*
7_1353:                  9          0#          0*
7_1354:                  1          0#          0*
7_1364:                  0          1#          0*
7_1372:                 30          6#          8*
7_1375:                207         24#         18*
7_1387:                 25          2#          8*
7_1388:                145         24#          8*
7_1404:                  6          0#          0*
7_1436:                  1          0#          0*
7_1499:                  1          0#          0*
7_1645:                  0          1#          0*
7_1646:                  0          1#          0*
7_1653:                  0          1#          0*
7_1681:                211         26#         18*
7_1682:                  2          2#          0*
7_1693:                218        156#         19*
7_1696:                 28         28#          0*
7_1706:                207         20#         17*
7_1714:                 90        122#         26*
7_1718:                  0          3#          0*
7_1725:                  0          1#          0*
7_1746:                  0          2#          0*
7_1758:                  0          1#          0*
7_1760:                  1          1#          0*
7_1787:                  0          1#          0*
7_1812:                  0          0#          2*
7_1840:                  0          1#          0*
7_1924:                  0          1#          0*
7_1928:                202         30#         19*
7_1934:                206         21#         20*
7_1946:                  0          1#          0*
7_2019:                  5          0#          0*
7_2025:                  0          1#          0*
7_2110:                  0          1#          0*
7_2112:                  0          2#          0*
7_2140:                198         24#         19*
7_2141:                 27         65#         21*
7_2244:                 53          8#         13*
7_2245:                  1          0#          0*
7_2251:                  0          1#          0*
7_2256:                  0          1#          0*
7_2293:                 37         62#          7*
7_2314:                 32         31#         12*
7_2329:                  2          0#          0*
7_2389:                 81        116#          6*
7_2390:                  9          7#          0*
7_2391:                  6          9#          0*
7_2393:                  0          0#          1*
7_2396:                 87        141#         17*
7_2397:                  5          3#          0*
7_2405:                  3          6#          0*
7_2468:                235         50#         36*
7_2470:                  2          0#          0*
7_2474:                  1          0#          0*
7_2497:                  4          0#          0*
7_2548:                  2          2#          0*
7_2549:                  1          0#          1*
7_2550:                 12          0#          2*
8_2:                     5          9#          0*
8_3:                     8          3#          0*
8_4:                     0          3#          0*
8_6:                     7          6#          0*
8_9:                     1          0#          0*
8_10:                    0          2#          0*
8_13:                    7          5#          0*
8_19:                  214         78#         17*
8_20:                    4          1#          1*
8_22:                    1          0#          0*
8_40:                  185         43#         23*
8_51:                    2          2#          0*
8_54:                    1          0#          0*
8_55:                    1          0#          0*
8_57:                    1          2#          0*
8_58:                    4          2#          0*
8_59:                    5          9#          0*
